"key","groupId","groupName","coordinateX","coordinateY","creationDate","studentsCount","expelledStudents","transferredStudents","semesterEnum","groupAdminName","birthDay","passportId","hairColor"
"0","566875","The Topaz Titans","3","2","2023-04-28T10:31:29.653","null","89","93","SIXTH","Harry","2039-04-28T10:31:29.896","9V7F5S6W1L8D4Q32M0J6P5H3KX","WHITE"
"1","756333","The Diamond Dragons","9","2","2023-04-28T10:31:30.172","null","94","94","FIFTH","Mario","2038-04-28T10:31:30.410","0R2L66K1F3Q8H37N9X4T5J7SZY","BLUE"
"10","154183","The Onyx Owls","9","1","2023-04-28T10:31:34.489","null","93","78","EIGHTH","Mario","2038-04-28T10:31:34.713","9V7F5S6W1L8D4Q32M0J6P5H3KX","BLUE"
"100","988542","1","1","1","2023-04-28T11:04:46.942","null","1","1","null","null","null","null","null"
"11","934876","The Garnet Gurus","4","1","2023-04-28T10:31:34.958","null","90","89","FIFTH","Mario","2040-04-28T10:31:35.180","EC1M2J8W8VX9J0LZ6N1D2Q35TY","YELLOW"
"12","728013","The Garnet Gurus","7","2","2023-04-28T10:31:35.426","null","56","92","SEVENTH","Nikita","2040-04-28T10:31:35.663","EC1M2J8W8VX9J0LZ6N1D2Q35TY","BLUE"
"121","144041","1","1","1","2023-04-28T11:24:14.658","null","1","1","null","null","null","null","null"
"1212","58307","1","1","1","2023-04-28T11:25:10.223","null","1","1","null","null","null","null","null"
"12122","697667","1","1","1","2023-04-28T11:27:15.156","null","1","1","null","null","null","null","null"
"13","633992","The Emerald Eagles","3","3","2023-04-28T10:31:35.912","null","56","243","SEVENTH","Oleg","2040-04-28T10:31:36.150","0R2L66K1F3Q8H37N9X4T5J7SZY","WHITE"
"14","74852","The Amethyst Alliance","9","2","2023-04-28T10:31:36.396","null","78","93","EIGHTH","null","null","null","null"
"15","949227","The Diamond Dragons","8","3","2023-04-28T10:31:36.875","null","89","34","SIXTH","Batman","2038-04-28T10:31:37.110","7B9J6S5F8H443D0N2Q1L3K6TV","WHITE"
"16","766983","The Amethyst Alliance","5","4","2023-04-28T10:31:37.364","null","91","89","EIGHTH","Sasha","2039-04-28T10:31:37.607","0R2L66K1F3Q8H37N9X4T5J7SZY","BLUE"
"17","387293","The Garnet Gurus","1","8","2023-04-28T10:31:37.850","null","91","90","FIFTH","Masha","2039-04-28T10:31:38.090","1S8K7Z2M4B03N6P5D8F4H7X9QT","WHITE"
"18","306436","The Emerald Eagles","11","5","2023-04-28T10:31:38.337","null","34","67","SEVENTH","Bilbo","2039-04-28T10:31:38.563","C3F8P7V9X1D2Z6B5J0K443N7TY","YELLOW"
"19","99922","The Sapphire Squad","1","6","2023-04-28T10:31:38.808","null","91","78","FIFTH","null","null","null","null"
"2","184556","The Sapphire Squad","8","2","2023-04-28T10:31:30.658","null","91","34","SEVENTH","Masha","2038-04-28T10:31:30.894","7B9J6S5F8H443D0N2Q1L3K6TV","YELLOW"
"20","941734","The Amethyst Alliance","7","8","2023-04-28T10:31:39.325","null","93","243","EIGHTH","Mario","2040-04-28T10:31:39.548","EC1M2J8W8VX9J0LZ6N1D2Q35TY","BLUE"
"200","543884","1","1","1","2023-04-28T11:21:13.702","null","1","1","null","null","null","null","null"
"21","790885","The Golden Lions","8","11","2023-04-28T10:31:39.802","null","67","92","EIGHTH","Harry","2040-04-28T10:31:40.033","0R2L66K1F3Q8H37N9X4T5J7SZY","WHITE"
"22","634189","The Diamond Dragons","9","2","2023-04-28T10:31:40.277","null","4","243","EIGHTH","Oleg","2040-04-28T10:31:40.514","1S8K7Z2M4B03N6P5D8F4H7X9QT","YELLOW"
"23","981829","The Amethyst Alliance","10","8","2023-04-28T10:31:40.751","null","78","34","SEVENTH","Bilbo","2040-04-28T10:31:40.975","1S8K7Z2M4B03N6P5D8F4H7X9QT","BLUE"
"24","912495","The Diamond Dragons","2","3","2023-04-28T10:31:41.219","null","91","92","SEVENTH","Batman","2038-04-28T10:31:41.442","7B9J6S5F8H443D0N2Q1L3K6TV","BLUE"
"25","975825","The Topaz Titans","5","9","2023-04-28T10:31:41.690","null","94","94","SEVENTH","Oleg","2040-04-28T10:31:41.912","EC1M2J8W8VX9J0LZ6N1D2Q35TY","YELLOW"
"26","583341","The Diamond Dragons","3","2","2023-04-28T10:31:42.153","null","94","94","SIXTH","Nikita","2040-04-28T10:31:42.385","5J6E3U7G5I8K4P0V93S4N5L7CZ","WHITE"
"27","335645","The Golden Lions","10","1","2023-04-28T10:31:42.621","null","56","78","SEVENTH","Batman","2039-04-28T10:31:42.842","I4G0P65U5V73X9Z2N8K3Q1J6FY","YELLOW"
"28","63094","The Sapphire Squad","6","1","2023-04-28T10:31:43.094","null","92","89","EIGHTH","null","null","null","null"
"29","535314","The Onyx Owls","2","2","2023-04-28T10:31:43.563","null","34","90","SIXTH","Bilbo","2039-04-28T10:31:43.785","7B9J6S5F8H443D0N2Q1L3K6TV","YELLOW"
"3","494364","The Diamond Dragons","9","2","2023-04-28T10:31:31.151","null","89","93","EIGHTH","Bilbo","2040-04-28T10:31:31.376","EC1M2J8W8VX9J0LZ6N1D2Q35TY","WHITE"
"30","80109","The Onyx Owls","6","7","2023-04-28T10:31:44.036","null","4","243","EIGHTH","Harry","2039-04-28T10:31:44.256","C3F8P7V9X1D2Z6B5J0K443N7TY","BLUE"
"31","21837","Group Names","8","6","2023-04-28T10:31:44.507","null","90","243","SIXTH","Oleg","2040-04-28T10:31:44.728","X9Z36E5M7D1Q2R8K6J43N5B4LH","WHITE"
"32","554961","The Topaz Titans","11","4","2023-04-28T10:31:44.976","null","90","34","SIXTH","null","null","null","null"
"3233","247487","1","1","1","2023-04-28T11:26:05.486","null","1","1","null","null","null","null","null"
"33","482118","The Topaz Titans","9","11","2023-04-28T10:31:45.447","null","4","93","FIFTH","Batman","2038-04-28T10:31:45.679","9W8N7Z5J6L30K34D1H3Q2C8SX","YELLOW"
"34","255737","The Golden Lions","1","6","2023-04-28T10:31:45.927","null","34","92","SEVENTH","Ivan","2040-04-28T10:31:46.147","0R2L66K1F3Q8H37N9X4T5J7SZY","BLUE"
"35","861897","The Sapphire Squad","1","1","2023-04-28T10:31:46.392","null","34","56","SIXTH","Sasha","2038-04-28T10:31:46.616","9W8N7Z5J6L30K34D1H3Q2C8SX","BLUE"
"36","456156","The Golden Lions","10","9","2023-04-28T10:31:46.865","null","34","92","FIFTH","null","null","null","null"
"37","4181","The Red Ravens","8","10","2023-04-28T10:31:47.333","null","91","243","SEVENTH","Oleg","2040-04-28T10:31:47.554","1S8K7Z2M4B03N6P5D8F4H7X9QT","BLUE"
"38","340404","The Emerald Eagles","7","11","2023-04-28T10:31:47.796","null","56","67","SEVENTH","null","null","null","null"
"39","669812","The Onyx Owls","3","4","2023-04-28T10:31:48.276","null","78","91","SIXTH","Masha","2038-04-28T10:31:48.522","EC1M2J8W8VX9J0LZ6N1D2Q35TY","BLUE"
"4","834480","The Garnet Gurus","6","11","2023-04-28T10:31:31.624","null","56","92","FIFTH","Batman","2040-04-28T10:31:31.846","EC1M2J8W8VX9J0LZ6N1D2Q35TY","BLUE"
"40","581252","The Topaz Titans","7","9","2023-04-28T10:31:48.763","null","67","92","EIGHTH","Bilbo","2040-04-28T10:31:48.996","1S8K7Z2M4B03N6P5D8F4H7X9QT","WHITE"
"41","823063","Group Names","6","1","2023-04-28T10:31:49.243","null","94","90","FIFTH","Harry","2038-04-28T10:31:49.464","EC1M2J8W8VX9J0LZ6N1D2Q35TY","WHITE"
"42","866583","Group Names","10","1","2023-04-28T10:31:49.716","null","94","90","EIGHTH","Ivan","2039-04-28T10:31:49.950","EC1M2J8W8VX9J0LZ6N1D2Q35TY","YELLOW"
"43","670661","The Topaz Titans","6","1","2023-04-28T10:31:50.199","null","90","89","SIXTH","Batman","2039-04-28T10:31:50.433","9W8N7Z5J6L30K34D1H3Q2C8SX","BLUE"
"44","823069","The Topaz Titans","6","2","2023-04-28T10:31:50.675","null","92","243","SEVENTH","Sasha","2040-04-28T10:31:50.899","0R2L66K1F3Q8H37N9X4T5J7SZY","BLUE"
"45","167951","The Emerald Eagles","7","11","2023-04-28T10:31:51.151","null","67","34","FIFTH","Ivan","2039-04-28T10:31:51.369","C3F8P7V9X1D2Z6B5J0K443N7TY","BLUE"
"46","934418","The Golden Lions","11","6","2023-04-28T10:31:51.619","null","90","56","EIGHTH","Oleg","2038-04-28T10:31:51.851","EC1M2J8W8VX9J0LZ6N1D2Q35TY","WHITE"
