"key","groupId","groupName","coordinateX","coordinateY","creationDate","studentsCount","expelledStudents","transferredStudents","semesterEnum","groupAdminName","birthDay","passportId","hairColor"
"0","35986","The Red Ravens","3","3","2023-04-25T18:01:20.314","null","91","78","FIFTH","Oleg","2039-04-25T18:01:20.557","0R2L66K1F3Q8H37N9X4T5J7SZY","BLUE"
"1","755428","The Amethyst Alliance","6","7","2023-04-25T18:01:20.797","null","89","243","SEVENTH","Nikita","2038-04-25T18:01:21.023","9V7F5S6W1L8D4Q32M0J6P5H3KX","BLUE"
"10","796277","dedwe","1","1","2023-04-25T18:01:49.571","null","1","1","null","null","null","null","null"
"101010","815539","dwdw","1","1","2023-04-25T18:06:38.902","null","1","1","null","null","null","null","null"
"111","142909","1","1","1","2023-04-25T18:06:09.306","null","11","1","null","null","null","null","null"
"2","288837","The Diamond Dragons","11","11","2023-04-25T18:01:21.264","null","4","94","EIGHTH","Oleg","2040-04-25T18:01:21.492","C3F8P7V9X1D2Z6B5J0K443N7TY","YELLOW"
"3","247134","The Garnet Gurus","3","9","2023-04-25T18:01:21.731","null","89","56","SEVENTH","Masha","2039-04-25T18:01:21.958","1S8K7Z2M4B03N6P5D8F4H7X9QT","YELLOW"
"4","234842","The Red Ravens","4","11","2023-04-25T18:01:22.201","null","34","56","FIFTH","Mario","2040-04-25T18:01:22.424","9W8N7Z5J6L30K34D1H3Q2C8SX","YELLOW"
"5","734867","The Golden Lions","10","9","2023-04-25T18:01:22.668","null","91","89","SIXTH","Oleg","2040-04-25T18:01:22.894","7B9J6S5F8H443D0N2Q1L3K6TV","BLUE"
"6","41575","The Amethyst Alliance","1","11","2023-04-25T18:01:23.139","null","4","56","SIXTH","Nikita","2040-04-25T18:01:23.363","7B9J6S5F8H443D0N2Q1L3K6TV","BLUE"
"7","592528","The Garnet Gurus","2","7","2023-04-25T18:01:23.608","null","90","90","EIGHTH","Masha","2039-04-25T18:01:23.829","C3F8P7V9X1D2Z6B5J0K443N7TY","WHITE"
"8","313387","The Silver Serpents","7","9","2023-04-25T18:01:24.074","null","78","34","EIGHTH","Sasha","2040-04-25T18:01:24.294","1S8K7Z2M4B03N6P5D8F4H7X9QT","YELLOW"
"9","145046","The Garnet Gurus","7","9","2023-04-25T18:01:24.542","null","78","34","EIGHTH","Ivan","2038-04-25T18:01:24.766","EC1M2J8W8VX9J0LZ6N1D2Q35TY","BLUE"
"owner","creationTime"
"127.0.0.1","2023-04-21T18:16:41.204"
